Speed(RPM),Torque(N.m),CosPhi
2852.85,16.583,0.2037
1468.7,18.988,0.4264
1230,29.45,0.5562
2347.2,7.644,0.5916
956.87,32.495,0.5723
1260.72,38.412,0.5917
1607.55,33.2,0.6014
1890.05,15.582,0.6534
894.34,40.85,0.627
596.55,49.164,0.6767
2195.96,13.289,0.735
2371.65,12.272,0.6745
1432.6,60.795,0.7056
958.65,53.025,0.7154
1183.35,117.075,0.7008
1467.61,47.7,0.7178
1919.4,28.035,0.7828
4425.2,2.5,0.8085
2630.4,10.735,0.78
938.08,61.824,0.8
2238.6,23.381,0.7872
4092.43,6.666,0.83
1821,36.181,0.83
1187.76,57.018,0.8051
2979.2,10.094,0.798
2493.63,19.488,0.8484
1795,48.609,0.8148
4122.82,22.698,0.867
3636,7.505,0.8772
2126.05,31.6,0.8858
2834,17.85,0.8787
2802.8,28.987,0.87
2609.84,53.346,0.9135
2687.36,53.53,0.8439
1705.25,52.38,0.8526
4382.65,5.05,0.836
4425.2,9.595,0.88
4066.02,20.37,0.88
3392.64,23.808,0.8976
3498.66,27.371,0.8976
2209.66,69.319,0.88
4309.52,14.847,0.8633
2710,24.096,0.8633
2126.05,36.865,0.9167
1183.05,72,0.8544
2882.88,24.735,0.855
3473.91,31.824,0.927
3079.65,40.788,0.855
2269.44,44.352,0.9
2558.78,46.272,0.927
1783,62.304,0.873
887,76.1,0.918
1426.56,76.538,0.918
1403.15,87.87,0.927
1709.73,83.125,0.945
1116.47,99.716,0.945
2530.5,28.684,0.9464
1451.38,87.138,0.9373
3573.9,13.802,0.9476
2469.94,37.595,0.966
2470,42.33,0.966
2754.05,42.874,0.9292
2163.84,52,0.8832
1942.75,63.08,0.9108
1564.16,67.32,0.966
1233.44,81.279,0.9384
1819.65,86.632,0.8832
550.2,87.87,0.9384
1517.19,95.76,0.92
4387.76,13.39,0.9021
3763.2,20.055,0.9021
3991.55,22.374,0.93
3063.06,23.816,0.9021
2096,45.374,0.9579
2922.3,44.175,0.9486
1975.05,51.1,0.9579
1842.67,62.296,0.9207
1926.6,73.632,0.9765
875.67,83.712,0.8835
4058.48,18.236,0.893
2573.76,31.556,0.987
2744.56,45.186,0.9494
2849,46.53,0.893
2020.76,58.092,0.94
2209.66,65.52,0.9588
2075.84,77,0.987
1225.12,93.66,0.9024
1392.96,98.098,0.893
3074.55,29.498,0.912
2907.66,32.11,0.912
2586.99,38.178,0.9792
2271.74,54.136,0.96
2309,61.74,0.9312
1757,68.02,0.96
3983.04,16.463,0.9409
2376.53,48.609,0.9409
2546.88,39.382,0.9595
