# speed(rpm),torque(n.m),cosphi
16.583,0.2037,0.0
18.988,0.4264,0.0
29.45,0.5562,0.0
7.644,0.5916,0.0
32.495,0.5723,0.0
38.412,0.5917,0.0
33.2,0.6014,0.0
15.582,0.6534,0.0
40.85,0.627,0.0
49.164,0.6767,0.0
13.289,0.735,0.0
12.272,0.6745,0.0
60.795,0.7056,0.0
53.025,0.7154,0.0
117.075,0.7008,0.0
47.7,0.7178,0.0
28.035,0.7828,0.0
2.5,0.8085,0.0
10.735,0.78,0.0
61.824,0.8,0.0
23.381,0.7872,0.0
6.666,0.83,0.0
36.181,0.83,0.0
57.018,0.8051,0.0
10.094,0.798,0.0
19.488,0.8484,0.0
48.609,0.8148,0.0
22.698,0.867,0.0
7.505,0.8772,0.0
31.6,0.8858,0.0
17.85,0.8787,0.0
28.987,0.87,0.0
53.346,0.9135,0.0
53.53,0.8439,0.0
52.38,0.8526,0.0
5.05,0.836,0.0
9.595,0.88,0.0
20.37,0.88,0.0
23.808,0.8976,0.0
27.371,0.8976,0.0
69.319,0.88,0.0
14.847,0.8633,0.0
24.096,0.8633,0.0
36.865,0.9167,0.0
72.0,0.8544,0.0
24.735,0.855,0.0
31.824,0.927,0.0
40.788,0.855,0.0
44.352,0.9,0.0
46.272,0.927,0.0
62.304,0.873,0.0
76.1,0.918,0.0
76.538,0.918,0.0
87.87,0.927,0.0
83.125,0.945,0.0
99.716,0.945,0.0
28.684,0.9464,0.0
87.138,0.9373,0.0
13.802,0.9476,0.0
37.595,0.966,0.0
42.33,0.966,0.0
42.874,0.9292,0.0
52.0,0.8832,0.0
63.08,0.9108,0.0
67.32,0.966,0.0
81.279,0.9384,0.0
86.632,0.8832,0.0
87.87,0.9384,0.0
95.76,0.92,0.0
13.39,0.9021,0.0
20.055,0.9021,0.0
22.374,0.93,0.0
23.816,0.9021,0.0
45.374,0.9579,0.0
44.175,0.9486,0.0
51.1,0.9579,0.0
62.296,0.9207,0.0
73.632,0.9765,0.0
83.712,0.8835,0.0
18.236,0.893,0.0
31.556,0.987,0.0
45.186,0.9494,0.0
46.53,0.893,0.0
58.092,0.94,0.0
65.52,0.9588,0.0
77.0,0.987,0.0
93.66,0.9024,0.0
98.098,0.893,0.0
29.498,0.912,0.0
32.11,0.912,0.0
38.178,0.9792,0.0
54.136,0.96,0.0
61.74,0.9312,0.0
68.02,0.96,0.0
16.463,0.9409,0.0
48.609,0.9409,0.0
39.382,0.0,0.0
